Exercice,Branche,Code Produit,Désignation Produit,Sous-Branche,Date Survenance,Règlement
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,21/05/2014,217837221.58
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,10/01/2015,209353193.73
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,30/04/2014,207198126.25
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,20/05/2022,200000000.0
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,26/03/2014,175432834.18
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,22/07/2013,174292719.79
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,22/05/2018,169719552.25
2017,Risques Industriels,PE,Perte D'exploitation,Incendie,22/10/2015,164305469.45
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,20/02/2019,164011734.29
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,02/04/2016,163464290.2
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,01/07/2019,160629723.23
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,14/03/2017,156884474.21
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,03/10/2020,154873166.16
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/08/2008,147134967.72
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,29/12/2018,145580750.81
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,19/09/2012,144602816.67
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/03/2014,135917965.4
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,03/03/2018,135019301.13
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,01/07/2014,133094989.94
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,13/07/2008,131550862.65
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,25/10/2018,127636739.02
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,20/06/2012,122917479.35
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,24/09/2019,24130664.44
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,21/11/2015,121688175.42
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,14/12/2012,120356964.11
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,24/12/2020,23003000.0
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,13/12/2018,118513600.0
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/01/2019,114128724.05
2016,Risques Industriels,RG,RC Générale,Responsabilité Civile,11/06/2006,20627788.0
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,21/05/2014,104074229.86
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,20/07/2015,101997550.0
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,13/02/2022,100570757.12
2014,Risques Industriels,PE,Perte D'exploitation,Incendie,19/12/2012,100000000.0
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,25/04/2015,93374853.36
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,01/08/2015,93079181.13
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,13/08/2005,92007694.04
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,22/11/2018,89056812.07
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/11/2019,85819122.37
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,21/10/2020,85110962.4
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,11/12/2017,84937562.43
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,20/05/2020,83409208.5
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,02/09/2018,82522930.0
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,02/01/2020,80697028.23
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,12/12/2022,80645327.1
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/07/2017,75000000.0
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,23/08/2011,72905897.76
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,01/02/2017,67880233.74
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,11/06/2018,67239952.08
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,26/03/2014,63023789.78
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,06/01/2016,58688742.39
2023,Risques Industriels,IM,Incendie Risques Multisites,Incendie,17/07/2019,58004606.43
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,25/09/2013,57312992.61
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,17/05/2015,56490275.0
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,13/07/2017,56187468.9
2022,Risques Industriels,IM,Incendie Risques Multisites,Incendie,24/03/2019,55890186.9
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,21/10/2021,55606600.27
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,21/02/2020,54227810.4
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,22/05/2013,54128332.15
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,08/08/2011,53684770.9
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,23/10/2014,52816854.1
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,01/12/2014,49658078.24
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,30/12/2015,49273644.08
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,25/03/2022,48225000.0
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,18/08/2014,46433127.14
2023,Risques Industriels,IM,Incendie Risques Multisites,Incendie,13/11/2022,45926196.65
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,05/04/2016,45769915.41
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,31/10/2017,44058035.74
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,22/05/2018,42577878.73
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,23/06/2013,41846559.47
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,31/10/2017,41671812.35
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,02/09/2018,40169700.0
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,23/08/2021,39157544.21
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,27/09/2015,38813079.57
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/08/2016,38753785.58
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,21/05/2014,38526838.94
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,13/07/2008,36721322.33
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,28/12/2011,35841206.68
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,07/01/2011,35522450.18
2023,Risques Industriels,IM,Incendie Risques Multisites,Incendie,21/07/2019,35138098.86
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,23/10/2012,33083883.1
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/01/2019,31873122.25
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,10/12/2012,30773978.74
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,19/11/2014,30752689.86
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,02/01/2017,30726167.33
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,01/12/2019,30513701.6
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,25/07/2010,30124959.33
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,11/12/2017,30000000.0
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/08/2016,30000000.0
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,03/04/2016,29739602.97
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,21/05/2003,29035240.75
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,16/05/2015,28823934.4
2020,Risques Industriels,MH,Multirisques Habitation,Risque simple,23/10/2016,32.15
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,16/08/2012,28605865.47
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,25/03/2022,28601044.8
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/11/2019,28162700.0
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,15/08/2022,28107202.02
2015,Risques Industriels,VM,Vol De Marchandise,Risque simple,22/04/2012,99.74
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,15/03/2014,27765151.92
2016,Risques Industriels,VM,Vol De Marchandise,Risque simple,28/09/2014,121.52
2018,Risques Industriels,RG,RC Générale,Responsabilité Civile,01/08/2016,20600675.85
2015,Risques Industriels,VM,Vol De Marchandise,Risque simple,04/02/2012,145.11
2021,Risques Industriels,VM,Vol De Marchandise,Risque simple,06/03/2010,158.01
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,28/05/2012,25893873.13
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,04/01/2021,24851400.54
2019,Risques Industriels,RG,RC Générale,Responsabilité Civile,05/12/2016,18442147.88
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,10/10/2020,18392394.0
2020,Risques Industriels,RG,RC Générale,Responsabilité Civile,23/02/2013,18000000.0
2020,Risques Industriels,RG,RC Générale,Responsabilité Civile,17/06/2012,15263954.0
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,13/10/2016,14551837.84
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,27/06/2011,24500000.0
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,11/12/2017,23808384.01
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,18/12/2017,23760812.57
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,31/05/2015,23724358.75
2015,Risques Industriels,RG,RC Générale,Responsabilité Civile,04/04/2009,14393703.88
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,08/03/2015,23555009.42
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,22/05/2014,13217275.34
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,20/09/2014,13166038.41
2017,Risques Industriels,RG,RC Générale,Responsabilité Civile,25/07/2014,12523588.75
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,09/12/2022,12000000.0
2017,Risques Industriels,RG,RC Générale,Responsabilité Civile,23/07/2009,11480000.0
2022,Risques Industriels,RG,RC Générale,Responsabilité Civile,11/02/2017,11163196.0
2017,Risques Industriels,RG,RC Générale,Responsabilité Civile,28/04/2013,10268408.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,05/07/2022,9967588.65
2016,Risques Industriels,RG,RC Générale,Responsabilité Civile,09/09/2013,9901333.58
2016,Risques Industriels,RG,RC Générale,Responsabilité Civile,21/08/2012,9897420.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,11/07/2020,9593063.0
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,16/07/2018,22238626.75
2016,Risques Industriels,RN,Responsabilité Civile Association,Responsabilité Civile,05/12/2015,200.0
2016,Risques Industriels,RN,Responsabilité Civile Association,Responsabilité Civile,18/09/2015,200.0
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,30/09/2013,21808432.16
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,23/12/2019,21478194.39
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,31/03/2016,21357495.0
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,16/04/2019,21291171.75
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,20/02/2020,20282496.19
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,18/01/2017,19927830.71
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,16/08/2012,19771000.0
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,06/07/2020,19566693.08
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,07/06/2022,19356525.13
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,26/10/2013,18981725.18
2017,Risques Industriels,RG,RC Générale,Responsabilité Civile,23/03/2017,8606496.5
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,28/05/2008,18866280.0
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,23/12/2017,18861000.85
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,30/11/2018,8493797.94
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,01/07/2019,18616230.34
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,11/05/2016,18403054.09
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,14/03/2017,17843631.76
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,16/01/2013,17834730.39
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,08/01/2011,17180715.28
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,16/11/2010,17003162.5
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,08/12/2021,16613868.7
2020,Risques Industriels,RG,RC Générale,Responsabilité Civile,10/08/2015,8300000.0
2020,Risques Industriels,RG,RC Générale,Responsabilité Civile,20/10/2018,8238720.0
2017,Risques Industriels,RG,RC Générale,Responsabilité Civile,25/07/2014,8184512.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,10/08/2020,8007815.0
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,08/05/2018,7728000.0
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,27/01/2015,16333774.54
2014,Risques Industriels,RG,RC Générale,Responsabilité Civile,28/08/2012,7500000.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,07/04/2022,7287181.62
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,24/07/2016,7129714.14
2018,Risques Industriels,RG,RC Générale,Responsabilité Civile,04/05/2014,6915010.0
2016,Risques Industriels,RG,RC Générale,Responsabilité Civile,27/08/2010,6873621.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,17/12/2004,6828750.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,09/10/2018,6796950.0
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,18/06/2021,6792655.0
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,03/04/2016,16135699.66
2014,Risques Industriels,RG,RC Générale,Responsabilité Civile,10/03/2014,6781865.5
2018,Risques Industriels,RG,RC Générale,Responsabilité Civile,21/07/2016,6572750.0
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,20/08/2020,15791288.53
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,03/04/2016,15737604.62
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,06/01/2016,15000000.0
2020,Risques Industriels,IS,Incendie Risques Simples,Incendie,26/07/2019,304.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,31/05/2012,14811246.9
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/08/2019,14533600.0
2022,Risques Industriels,RG,RC Générale,Responsabilité Civile,26/06/2021,6570090.0
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,06/01/2016,14276182.17
2020,Risques Industriels,RG,RC Générale,Responsabilité Civile,21/05/2016,6333015.0
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,19/07/2013,14262513.4
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,05/02/2019,14107200.0
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,09/10/2019,14000000.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,14/03/2014,13851165.58
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,01/06/2016,13708095.11
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,23/03/2008,13671512.8
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,10/05/2015,13602450.0
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,05/08/2015,13562500.0
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,01/09/2010,13492288.01
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,09/10/2019,12688549.04
2017,Risques Industriels,RG,RC Générale,Responsabilité Civile,20/06/2016,6167010.58
2019,Risques Industriels,RG,RC Générale,Responsabilité Civile,01/01/2016,6000000.0
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,06/03/2021,5850000.0
2019,Risques Industriels,RG,RC Générale,Responsabilité Civile,06/06/2014,5734000.0
2018,Risques Industriels,RG,RC Générale,Responsabilité Civile,22/07/2016,5610092.58
2015,Risques Industriels,RG,RC Générale,Responsabilité Civile,19/11/2012,5600000.0
2020,Risques Industriels,RG,RC Générale,Responsabilité Civile,21/11/2013,5507000.0
2022,Risques Industriels,RG,RC Générale,Responsabilité Civile,28/02/2019,5460989.0
2022,Risques Industriels,RG,RC Générale,Responsabilité Civile,28/05/2019,5397447.36
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,17/12/2013,5350000.0
2017,Risques Industriels,RG,RC Générale,Responsabilité Civile,13/05/2017,5329600.0
2018,Risques Industriels,RG,RC Générale,Responsabilité Civile,04/08/2014,5311520.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,10/06/2021,5288060.0
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,19/10/2012,5195628.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,07/02/2019,5184100.0
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,07/02/2019,5178906.0
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,26/06/2018,5178680.0
2019,Risques Industriels,RG,RC Générale,Responsabilité Civile,08/07/2012,5178558.0
2014,Risques Industriels,RG,RC Générale,Responsabilité Civile,16/08/2009,5158938.85
2019,Risques Industriels,RG,RC Générale,Responsabilité Civile,20/08/2008,5000000.0
2022,Risques Industriels,RG,RC Générale,Responsabilité Civile,30/08/2018,5000000.0
2020,Risques Industriels,RG,RC Générale,Responsabilité Civile,30/06/2018,4990542.4
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,27/11/2014,12335016.71
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,07/03/2017,12182296.56
2022,Risques Industriels,RG,RC Générale,Responsabilité Civile,24/09/2020,4947502.8
2019,Risques Industriels,PE,Perte D'exploitation,Incendie,19/07/2017,11815210.99
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,11/01/2022,4825476.66
2020,Risques Industriels,RG,RC Générale,Responsabilité Civile,01/07/2018,4776917.84
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,15/05/2011,11731263.83
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,16/05/2019,11557668.8
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,04/08/2018,11384485.31
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,09/06/2014,11308947.71
2021,Risques Industriels,IM,Incendie Risques Multisites,Incendie,18/05/2020,11240356.89
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,10/11/2021,11181822.6
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,01/03/2014,4500000.0
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,23/12/2019,10939444.68
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,16/03/2016,10933894.0
2018,Risques Industriels,RG,RC Générale,Responsabilité Civile,09/09/2014,4465594.0
2022,Risques Industriels,RG,RC Générale,Responsabilité Civile,04/08/2018,4410320.61
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,18/07/2017,10907840.78
2022,Risques Industriels,RG,RC Générale,Responsabilité Civile,19/10/2018,4410009.0
2019,Risques Industriels,PE,Perte D'exploitation,Incendie,23/07/2017,10900587.0
2018,Risques Industriels,IS,Incendie Risques Simples,Incendie,29/04/2018,431.8
2019,Risques Industriels,VM,Vol De Marchandise,Risque simple,12/04/2012,444.18
2014,Risques Industriels,MH,Multirisques Habitation,Risque simple,04/11/2013,444.46
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,30/10/2013,10867224.0
2015,Risques Industriels,VM,Vol De Marchandise,Risque simple,16/11/2012,459.99
2019,Risques Industriels,RG,RC Générale,Responsabilité Civile,04/07/2017,4350000.02
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,08/12/2014,10767161.7
2018,Risques Industriels,VM,Vol De Marchandise,Risque simple,13/05/2015,479.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,29/01/2015,10725918.59
2022,Risques Industriels,RG,RC Générale,Responsabilité Civile,25/06/2019,4320469.15
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,26/11/2020,10641798.6
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,04/07/2018,4306384.6
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,09/02/2022,10274340.2
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,14/07/2012,10247316.87
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,12/12/2013,10121259.42
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,03/03/2015,10061013.23
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,23/03/2007,10000000.0
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/08/2016,10000000.0
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,06/01/2014,9987835.43
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,18/08/2020,9943174.48
2017,Risques Industriels,IM,Incendie Risques Multisites,Incendie,18/05/2017,9920658.0
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,11/03/2018,9872660.0
2020,Risques Industriels,VM,Vol De Marchandise,Risque simple,11/01/2013,500.0
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,10/11/2006,9850000.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,28/01/2005,9850000.0
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,16/01/2005,9850000.0
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/06/2005,9850000.0
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,07/01/2006,9850000.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,29/10/2007,9850000.0
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,12/11/2005,9850000.0
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,27/11/2007,9850000.0
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,13/01/2006,9850000.0
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,18/06/2017,9847943.46
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,07/06/2016,9815415.87
2016,Risques Industriels,RN,Responsabilité Civile Association,Responsabilité Civile,19/01/2016,500.0
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,02/10/2018,9811406.25
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,25/01/2019,9798712.88
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,19/08/2018,9797661.75
2022,Risques Industriels,PE,Perte D'exploitation,Incendie,08/07/2019,9752264.0
2018,Risques Industriels,IM,Incendie Risques Multisites,Incendie,03/05/2018,9640795.28
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,27/03/2015,9640512.34
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,08/07/2019,9625650.01
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,23/06/2013,9551792.45
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,09/02/2018,9550480.65
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,01/04/2013,9500000.0
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,10/06/2012,9500000.0
2020,Risques Industriels,IM,Incendie Risques Multisites,Incendie,28/02/2020,9488588.29
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,17/11/2016,9465066.76
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,21/05/2021,9428361.0
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,02/09/2018,9427421.01
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,10/05/2014,9417725.88
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,12/02/2018,9416959.59
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,21/02/2008,9364685.5
